Goals,Assists,PTS,Plus_Minus,Penalty Infraction Minutes,EV,PP,GW,Shots on Goal,Shooting Percentage,Shifts,Time on Ice (Minutes:Seconds),TOI
1,1,2,1,0,1,0,0,3,33.3,22,21:31,1291
0,1,1,-1,2,0,0,0,3,0,23,23:29,1409
0,0,0,-2,0,0,0,0,5,0,23,23:36,1416
0,0,0,-1,0,0,0,0,8,0,19,25:53:00,1553
0,0,0,0,2,0,0,0,6,0,24,24:17:00,1457
0,1,1,1,2,0,0,0,5,0,18,17:09,1029
1,0,1,1,0,1,0,0,4,25,19,20:43,1243
2,1,3,1,0,0,2,1,7,28.6,18,18:33,1113
0,2,2,-1,0,0,0,0,3,0,26,23:11,1391
1,1,2,1,2,1,0,0,3,33.3,22,22:28,1348
0,1,1,0,0,0,0,0,6,0,21,23:02,1382
0,2,2,1,0,0,0,0,3,0,21,21:51,1311
1,2,3,4,0,1,0,0,2,50,23,17:47,1067
0,0,0,-1,0,0,0,0,1,0,22,17:38,1058
1,1,2,0,0,1,0,0,1,100,19,17:52,1072
0,0,0,1,2,0,0,0,4,0,23,19:04,1144
0,0,0,-2,0,0,0,0,3,0,18,22:40,1360
0,1,1,-1,0,0,0,0,3,0,22,22:51,1371
0,0,0,0,2,0,0,0,5,0,20,23:06,1386
0,3,3,2,0,0,0,0,10,0,24,21:55,1315
0,2,2,1,0,0,0,0,1,0,20,18:58,1138
0,1,1,1,2,0,0,0,7,0,21,21:27,1287
0,1,1,2,0,0,0,0,3,0,23,18:52,1132
0,0,0,0,2,0,0,0,5,0,21,22:27,1347
1,0,1,0,0,1,0,0,6,16.7,21,25:38:00,1538
1,0,1,-1,0,1,0,0,5,20,19,20:21,1221
0,0,0,-1,0,0,0,0,5,0,18,22:33,1353
0,1,1,1,0,0,0,0,3,0,23,23:51,1431
0,0,0,-1,5,0,0,0,4,0,17,16:00,960
0,0,0,-1,0,0,0,0,6,0,34,25:14:00,1514
0,1,1,-1,0,0,0,0,7,0,25,23:54,1434
0,1,1,1,0,0,0,0,2,0,22,20:47,1247
0,1,1,1,0,0,0,0,1,0,22,21:19,1279
0,0,0,0,2,0,0,0,5,0,22,23:13,1393
1,1,2,2,2,1,0,1,8,12.5,24,22:01,1321
1,0,1,1,0,1,0,0,5,20,19,22:08,1328
0,0,0,-1,0,0,0,0,6,0,19,18:26,1106
0,0,0,0,0,0,0,0,8,0,18,21:56,1316
1,1,2,0,0,1,0,1,6,16.7,19,20:33,1233
0,1,1,1,0,0,0,0,6,0,22,23:21,1401
0,0,0,-2,2,0,0,0,2,0,21,18:38,1118
0,0,0,-1,0,0,0,0,3,0,24,25:01:00,1501
0,0,0,1,0,0,0,0,3,0,24,22:10,1330
1,0,1,0,0,1,0,0,3,33.3,23,20:30,1230
0,2,2,2,2,0,0,0,1,0,21,19:55,1195
3,0,3,3,0,3,0,1,8,37.5,21,20:52,1252
0,0,0,0,2,0,0,0,6,0,24,24:08:00,1448
0,0,0,0,0,0,0,0,8,0,20,23:38,1418
0,0,0,0,2,0,0,0,3,0,23,22:30,1350
1,3,4,3,0,0,1,1,10,10,26,22:22,1342
0,0,0,0,0,0,0,0,3,0,21,21:21,1281
0,0,0,-2,0,0,0,0,3,0,20,21:41,1301
1,0,1,0,0,1,0,0,2,50,19,24:35:00,1475
0,0,0,0,0,0,0,0,6,0,23,25:52:00,1552
1,1,2,-1,0,1,0,0,3,33.3,23,22:58,1378
1,1,2,0,2,0,1,0,7,14.3,22,20:13,1213
0,1,1,0,0,0,0,0,6,0,22,24:11:00,1451
1,0,1,0,0,0,1,1,8,12.5,28,20:36,1236
0,0,0,-1,0,0,0,0,8,0,22,22:44,1364
0,1,1,-1,0,0,0,0,2,0,24,17:02,1022
1,1,2,2,0,1,0,1,8,12.5,22,17:52,1072
0,2,2,1,0,0,0,0,1,0,23,18:47,1127
0,1,1,0,0,0,0,0,4,0,22,16:53,1013
0,1,1,1,2,0,0,0,4,0,27,24:39:00,1479
2,1,3,1,0,1,1,1,5,40,17,18:39,1119
1,0,1,1,0,1,0,0,1,100,19,16:07,967
0,0,0,-1,0,0,0,0,6,0,24,20:24,1224
0,1,1,1,0,0,0,0,1,0,23,21:44,1304
1,0,1,1,0,1,0,0,7,14.3,24,26:01:00,1561
0,2,2,3,0,0,0,0,0,,20,15:24,924
0,0,0,0,0,0,0,0,5,0,19,19:20,1160
0,1,1,1,0,0,0,0,5,0,22,20:51,1251
1,2,3,-1,0,1,0,1,7,14.3,22,20:06,1206
1,0,1,0,0,0,1,0,7,14.3,28,23:36,1416
1,2,3,2,0,1,0,0,5,20,20,18:39,1119
0,0,0,0,0,0,0,0,6,0,20,21:05,1265
