Goals,Assists,PTS,Plus_Minus,Penalty Infraction Minutes,EV,PP,GW,Shots on Goal,Shooting Percentage,Shifts,Time on Ice (Minutes:Seconds),TOI
0,0,0,0,4,0,0,0,4,0,26,22:24,1344
0,0,0,0,2,0,0,0,1,0,24,21:57,1317
0,1,1,0,0,0,0,0,3,0,21,17:33,1053
0,0,0,0,0,0,0,0,6,0,18,16:45,1005
1,1,2,1,0,0,1,1,5,20,19,17:05,1025
0,0,0,-1,0,0,0,0,2,0,22,16:01,961
1,0,1,0,2,0,1,0,6,16.7,25,19:41,1181
0,1,1,0,0,0,0,0,3,0,24,19:59,1199
0,0,0,-1,0,0,0,0,2,0,23,19:57,1197
1,0,1,1,0,1,0,0,3,33.3,18,16:40,1000
1,1,2,1,0,1,0,0,9,11.1,20,20:00,1200
0,0,0,-1,0,0,0,0,4,0,21,19:11,1151
1,1,2,0,2,1,0,0,2,50,18,16:17,977
0,0,0,0,0,0,0,0,2,0,18,17:29,1049
1,0,1,1,6,1,0,1,5,20,22,16:19,979
0,1,1,1,0,0,0,0,1,0,21,16:30,990
0,0,0,1,0,0,0,0,3,0,21,16:02,962
1,2,3,2,0,0,1,0,5,20,22,15:20,920
2,0,2,1,0,1,1,0,7,28.6,22,16:52,1012
0,1,1,2,0,0,0,0,2,0,20,16:09,969
0,1,1,2,0,0,0,0,2,0,20,17:56,1076
0,2,2,-4,0,0,0,0,3,0,21,20:51,1251
0,2,2,0,0,0,0,0,2,0,21,18:12,1092
1,0,1,0,0,0,1,0,3,33.3,24,15:46,946
0,1,1,2,0,0,0,0,2,0,20,16:13,973
0,0,0,-2,4,0,0,0,7,0,22,21:01,1261
1,1,2,1,0,1,0,0,4,25,22,17:30,1050
1,0,1,0,0,1,0,0,4,25,20,19:43,1183
1,0,1,2,0,0,1,0,5,20,20,19:29,1169
0,0,0,0,0,0,0,0,5,0,20,18:02,1082
0,1,1,1,0,0,0,0,4,0,18,18:24,1104
1,1,2,0,0,0,1,1,4,25,19,17:18,1038
0,0,0,1,0,0,0,0,0,,19,13:54,834
0,1,1,-2,2,0,0,0,2,0,21,14:54,894
0,0,0,-1,0,0,0,0,4,0,24,21:11,1271
1,0,1,-1,0,0,1,0,4,25,18,18:02,1082
0,2,2,2,2,0,0,0,0,,23,17:18,1038
0,0,0,0,0,0,0,0,3,0,22,18:31,1111
0,0,0,0,4,0,0,0,0,,25,20:36,1236
0,0,0,0,0,0,0,0,4,0,22,17:50,1070
0,0,0,0,0,0,0,0,3,0,20,20:33,1233
0,1,1,-1,2,0,0,0,1,0,20,19:05,1145
0,0,0,0,0,0,0,0,9,0,26,20:50,1250
0,0,0,-1,0,0,0,0,2,0,19,21:26,1286
0,0,0,0,0,0,0,0,6,0,22,18:48,1128
0,1,1,-1,0,0,0,0,4,0,20,19:03,1143
1,1,2,1,0,1,0,0,3,33.3,19,18:11,1091
0,0,0,-1,0,0,0,0,3,0,24,18:30,1110
0,1,1,2,0,0,0,0,7,0,24,21:07,1267
1,1,2,1,0,0,1,0,11,9.1,19,18:10,1090
0,0,0,-1,0,0,0,0,8,0,23,20:12,1212
1,0,1,0,2,0,1,0,4,25,16,17:29,1049
3,1,4,1,0,0,3,0,6,50,25,16:15,975
0,0,0,-1,0,0,0,0,1,0,21,18:03,1083
0,0,0,-1,0,0,0,0,3,0,23,17:28,1048
0,0,0,0,2,0,0,0,2,0,20,15:27,927
0,1,1,0,0,0,0,0,3,0,22,18:57,1137
0,1,1,0,0,0,0,0,2,0,22,19:22,1162
0,1,1,1,0,0,0,0,3,0,21,17:52,1072
0,0,0,-1,0,0,0,0,5,0,20,17:56,1076
1,1,2,1,0,1,0,0,4,25,22,21:02,1262
1,0,1,0,2,1,0,0,6,16.7,25,20:09,1209
1,0,1,1,0,1,0,0,4,25,23,18:34,1114
1,1,2,1,0,1,0,0,7,14.3,23,17:35,1055
1,0,1,0,0,1,0,1,7,14.3,21,19:13,1153
0,2,2,2,0,0,0,0,4,0,23,19:33,1173
0,0,0,-1,0,0,0,0,5,0,23,22:27,1347
0,1,1,1,0,0,0,0,2,0,22,20:52,1252
0,2,2,1,0,0,0,0,2,0,23,21:06,1266
1,0,1,0,0,1,0,0,8,12.5,23,20:13,1213
1,0,1,2,0,1,0,0,5,20,20,21:56,1316
1,1,2,0,0,0,1,0,8,12.5,23,23:35,1415
0,0,0,-1,0,0,0,0,15,0,22,24:43:00,1483
0,0,0,1,0,0,0,0,2,0,20,17:22,1042
0,0,0,0,0,0,0,0,3,0,24,18:39,1119
0,0,0,0,0,0,0,0,6,0,20,21:59,1319
1,0,1,2,0,1,0,0,4,25,23,16:11,971
1,1,2,1,0,1,0,0,4,25,25,20:34,1234
0,0,0,0,0,0,0,0,5,0,24,20:28,1228
1,0,1,0,2,0,1,0,8,12.5,23,22:02,1322
1,0,1,0,2,0,1,0,6,16.7,20,23:00,1380
0,1,1,1,2,0,0,0,3,0,24,21:57,1317
0,1,1,1,0,0,0,0,1,0,23,20:29,1229
0,0,0,0,0,0,0,0,5,0,29,21:42,1302
1,0,1,0,2,0,1,0,8,12.5,25,25:43:00,1543
1,0,1,-1,4,1,0,0,5,20,21,21:20,1280
0,0,0,0,0,0,0,0,1,0,23,19:18,1158
0,0,0,1,0,0,0,0,5,0,25,20:21,1221
0,0,0,1,0,0,0,0,3,0,19,19:15,1155
2,2,4,1,2,0,2,0,9,22.2,23,19:08,1148
1,0,1,0,2,0,1,1,5,20,20,17:21,1041
0,0,0,0,0,0,0,0,2,0,19,21:04,1264
0,0,0,0,0,0,0,0,2,0,21,19:17,1157
1,0,1,1,0,1,0,1,4,25,23,19:30,1170
2,0,2,2,4,2,0,0,10,20,21,21:38,1298
1,0,1,-1,0,1,0,0,6,16.7,24,20:05,1205
0,0,0,-1,0,0,0,0,6,0,23,25:37:00,1537
0,0,0,-1,0,0,0,0,2,0,19,19:09,1149
1,0,1,2,2,1,0,1,8,12.5,19,16:36,996
2,0,2,2,0,1,1,1,5,40,24,21:32,1292
2,0,2,2,0,1,1,0,6,33.3,21,18:14,1094
0,0,0,0,0,0,0,0,5,0,18,20:16,1216
0,0,0,-2,0,0,0,0,4,0,20,21:11,1271
1,0,1,0,0,0,1,0,2,50,24,23:16,1396
1,1,2,0,0,0,1,0,6,16.7,18,16:37,997
0,0,0,1,2,0,0,0,6,0,23,19:58,1198
1,0,1,1,2,1,0,1,5,20,19,19:22,1162
0,0,0,0,0,0,0,0,4,0,21,23:55,1435
1,0,1,1,0,1,0,0,5,20,18,18:59,1139
1,0,1,0,0,0,1,0,3,33.3,21,18:13,1093
3,0,3,1,0,2,1,0,10,30,25,19:47,1187
1,0,1,-1,0,0,1,0,5,20,20,21:52,1312
0,0,0,-1,0,0,0,0,10,0,20,19:29,1169
2,0,2,0,0,1,1,0,10,20,23,21:05,1265
1,1,2,1,0,1,0,0,6,16.7,19,20:39,1239
1,1,2,1,4,1,0,0,9,11.1,23,22:21,1341
0,1,1,0,0,0,0,0,2,0,23,23:35,1415
1,1,2,1,0,0,1,0,4,25,21,19:13,1153
0,0,0,0,2,0,0,0,5,0,20,21:03,1263
0,0,0,-1,0,0,0,0,3,0,25,18:37,1117
1,0,1,1,0,1,0,0,3,33.3,19,17:40,1060
0,0,0,-2,0,0,0,0,1,0,23,19:15,1155
0,1,1,0,5,0,0,0,5,0,20,19:53,1193
0,0,0,-1,2,0,0,0,5,0,20,20:29,1229
0,1,1,0,0,0,0,0,4,0,23,19:35,1175
0,1,1,-2,0,0,0,0,2,0,20,21:30,1290
1,0,1,0,0,1,0,1,7,14.3,20,18:21,1101
0,0,0,0,2,0,0,0,5,0,19,21:01,1261
0,0,0,0,0,0,0,0,3,0,19,18:42,1122
1,0,1,-1,0,0,1,0,4,25,19,17:45,1065
0,0,0,0,2,0,0,0,4,0,21,22:02,1322
0,0,0,-2,2,0,0,0,4,0,23,20:18,1218
0,0,0,1,0,0,0,0,2,0,18,17:00,1020
1,0,1,0,2,0,1,0,3,33.3,24,21:30,1290
1,0,1,0,0,0,1,0,8,12.5,19,19:16,1156
0,0,0,-1,2,0,0,0,3,0,21,20:05,1205
2,0,2,3,0,2,0,0,5,40,23,20:48,1248
0,0,0,0,2,0,0,0,6,0,26,22:03,1323
3,0,3,2,0,3,0,1,9,33.3,18,17:12,1032
0,0,0,-1,4,0,0,0,4,0,29,22:22,1342
2,0,2,1,0,1,1,1,7,28.6,23,18:18,1098
2,1,3,0,0,1,1,0,8,25,27,23:41,1421
